Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumStorePurchases,NumWebVisitsMonth,Complain,WebPurchases,Age,Children,TotalSpent,CustomerType
1971,PhD,Single,60504.0,0,73,458,0,24,6,4,34,8,6,0,1,55,0,526,Comprador
1963,Graduation,Married,22419.0,0,74,30,3,47,19,21,42,2,8,0,0,63,0,162,Não Comprador
1949,Master,Married,81698.0,0,4,179,28,520,111,123,47,13,1,0,0,77,0,1008,Não Comprador
1952,Graduation,Together,43462.0,1,50,90,17,97,15,6,15,5,8,0,1,74,1,240,Comprador
1978,PhD,Single,54880.0,1,57,308,85,137,102,45,118,11,5,0,1,48,1,795,Comprador
1982,Graduation,Married,79908.0,0,30,557,129,761,29,185,111,7,2,0,1,44,0,1772,Comprador
1970,2n Cycle,Married,15315.0,0,27,7,4,13,15,8,17,4,5,0,0,56,0,64,Não Comprador
1959,Graduation,Together,87771.0,0,61,1492,38,287,50,57,33,4,6,0,1,67,0,1957,Comprador
1978,Graduation,Married,33039.0,1,4,30,8,12,8,8,12,4,5,0,0,48,1,78,Não Comprador
1980,Graduation,Single,81741.0,0,75,249,153,940,58,134,38,7,2,0,1,46,0,1572,Comprador
1971,Master,Together,71499.0,0,12,465,25,132,136,0,37,13,4,0,1,55,0,795,Comprador
1970,2n Cycle,Married,62466.0,0,13,129,129,259,168,121,83,12,4,0,1,56,0,889,Comprador
1963,PhD,Divorced,48799.0,0,9,174,18,81,28,6,24,7,3,0,0,63,0,331,Não Comprador
1950,PhD,Together,52157.0,0,48,189,2,29,3,2,40,5,4,0,0,76,0,265,Não Comprador
1962,Graduation,Single,66565.0,0,80,747,10,161,65,40,42,9,8,0,1,64,0,1065,Comprador
1951,Master,Together,29298.0,1,60,6,0,2,2,0,1,2,5,0,0,75,1,11,Não Comprador
1979,Graduation,Single,47691.0,0,43,14,0,3,0,0,4,2,6,0,0,47,0,21,Não Comprador
1970,Graduation,Together,38200.0,1,19,12,0,4,0,0,1,2,7,0,0,56,1,17,Não Comprador
1974,Graduation,Married,44989.0,0,26,98,0,106,49,10,106,5,6,0,1,52,0,369,Comprador
1968,PhD,Married,38443.0,1,58,32,0,5,0,0,1,3,7,0,0,58,1,38,Não Comprador
1978,2n Cycle,Single,38593.0,1,42,51,12,49,17,24,24,3,8,0,1,48,1,177,Comprador
1970,PhD,Together,64413.0,0,27,200,5,44,0,10,20,5,5,0,1,56,0,279,Comprador
1981,Master,Married,36959.0,1,56,25,6,25,6,0,0,3,8,0,0,45,1,62,Não Comprador
1977,PhD,Married,61996.0,0,27,1050,12,144,0,0,24,8,5,0,1,49,0,1230,Comprador
1968,Graduation,Married,51287.0,1,10,117,0,22,13,0,30,3,7,0,1,58,1,182,Comprador
1970,Graduation,Married,13260.0,1,48,9,4,17,10,2,7,3,8,0,0,56,1,49,Não Comprador
1966,PhD,Together,47472.0,1,39,56,0,11,0,0,8,4,5,0,0,60,1,75,Não Comprador
1956,Master,Together,54603.0,1,85,145,13,46,17,2,4,4,7,0,1,70,1,227,Comprador
1974,PhD,Married,45207.0,1,64,203,0,10,0,0,2,6,6,0,0,52,1,215,Não Comprador
1951,Graduation,Together,40689.0,0,69,270,3,27,39,6,99,5,8,0,1,75,0,444,Comprador
1967,2n Cycle,Together,47821.0,1,54,9,0,16,6,6,10,3,8,0,0,59,1,47,Não Comprador
1951,Master,Married,27450.0,0,57,37,12,23,8,11,52,3,7,0,0,75,0,143,Não Comprador
1983,Graduation,Together,39453.0,1,64,46,0,7,0,0,2,3,6,0,0,43,1,55,Não Comprador
1971,2n Cycle,Together,26850.0,1,10,31,1,13,7,2,9,4,4,0,0,55,1,63,Não Comprador
1955,Graduation,Widow,79800.0,0,65,1060,21,530,32,0,224,5,3,0,1,71,0,1867,Comprador
1961,Master,Married,61794.0,0,74,264,47,188,54,47,11,10,2,0,1,65,0,611,Comprador
1955,Graduation,Together,53863.0,0,4,399,4,30,6,4,30,7,7,0,1,71,0,473,Comprador
1959,Graduation,Together,24221.0,0,94,8,9,9,2,5,22,3,4,0,0,67,0,55,Não Comprador
1984,PhD,Single,39684.0,1,41,19,0,35,6,4,17,2,7,1,0,42,1,81,Não Comprador
1975,Master,Married,92163.0,0,25,817,183,797,106,163,20,5,2,0,1,51,0,2086,Comprador
1965,Master,Single,69882.0,0,94,292,127,635,132,127,165,9,1,0,0,61,0,1478,Não Comprador
1977,Graduation,Together,33178.0,1,9,12,6,2,11,2,16,3,4,0,0,49,1,49,Não Comprador
1972,PhD,Married,59973.0,0,47,130,30,168,20,34,0,7,1,0,0,54,0,382,Não Comprador
1975,Master,Together,17459.0,1,12,6,4,16,3,10,30,2,7,0,0,51,1,69,Não Comprador
1969,Graduation,Divorced,23910.0,1,80,16,12,18,7,1,13,3,7,0,0,57,1,67,Não Comprador
1969,Master,Married,42169.0,1,20,19,0,9,0,0,2,3,8,0,0,57,1,30,Não Comprador
1978,2n Cycle,Married,26224.0,1,39,4,7,15,13,9,15,3,6,0,0,48,1,63,Não Comprador
1981,Graduation,Together,31089.0,1,57,31,3,31,2,8,4,4,8,0,0,45,1,79,Não Comprador
1961,Graduation,Single,30081.0,0,27,36,0,2,0,0,4,3,7,0,0,65,0,42,Não Comprador
1960,Graduation,Together,62807.0,0,83,526,28,135,10,21,99,12,5,0,1,66,0,819,Comprador
1955,Graduation,Single,72906.0,0,79,400,32,519,71,75,54,9,1,0,0,71,0,1151,Não Comprador
1948,PhD,Married,61467.0,0,69,410,16,114,0,5,49,10,5,0,1,78,0,594,Comprador
1966,Master,Together,49618.0,1,77,80,3,26,4,2,14,3,7,0,0,60,1,129,Não Comprador
1986,Master,Single,21888.0,1,15,88,10,46,2,3,64,2,10,0,1,40,1,213,Comprador
1973,Graduation,Widow,42429.0,0,99,55,0,6,2,0,4,3,5,0,0,53,0,67,Não Comprador
1956,Graduation,Divorced,26150.0,2,61,5,1,13,3,5,1,3,7,0,0,70,2,28,Não Comprador
1975,Basic,Married,30801.0,0,23,8,4,5,15,2,11,3,7,0,0,51,0,45,Não Comprador
1965,Graduation,Married,81168.0,0,84,410,0,592,147,22,22,7,3,0,1,61,0,1193,Comprador
1969,Master,Single,26877.0,0,74,101,13,76,20,18,40,6,6,0,0,57,0,268,Não Comprador
1944,Master,Widow,45006.0,0,90,162,25,53,16,0,10,7,3,0,0,82,0,266,Não Comprador
1973,Basic,Married,18978.0,1,41,2,8,1,4,7,15,3,8,0,0,53,1,37,Não Comprador
1967,Graduation,Married,22574.0,2,28,25,0,8,2,0,2,3,7,0,0,59,2,37,Não Comprador
1969,PhD,Single,48240.0,0,73,389,91,248,64,49,41,13,5,0,1,57,0,882,Comprador
1974,Graduation,Married,45837.0,1,88,215,13,87,17,17,24,5,7,0,1,52,1,373,Comprador
1965,Master,Single,35791.0,2,94,27,0,5,0,0,3,3,8,0,0,61,2,35,Não Comprador
1976,PhD,Together,162397.0,1,31,85,1,16,2,1,2,1,1,0,0,50,1,107,Não Comprador
1978,Graduation,Widow,54162.0,1,31,5,6,10,6,5,10,3,4,0,0,48,1,42,Não Comprador
1960,Master,Married,30522.0,0,6,179,8,83,19,11,26,9,2,0,0,66,0,326,Não Comprador
1961,PhD,Married,54456.0,0,23,352,0,27,10,0,15,7,6,0,1,65,0,404,Comprador
1971,Graduation,Single,31632.0,0,92,17,8,12,11,15,32,2,7,0,0,55,0,95,Não Comprador
1949,Graduation,Widow,72298.0,0,52,625,35,169,58,17,35,6,1,0,1,77,0,939,Comprador
1978,2n Cycle,Single,36975.0,1,50,10,6,11,0,4,2,3,7,0,0,48,1,33,Não Comprador
1955,2n Cycle,Married,72635.0,0,54,390,22,323,104,35,107,6,3,0,1,71,0,981,Comprador
1976,Graduation,Married,13624.0,1,93,10,2,15,2,1,6,3,6,0,0,50,1,36,Não Comprador
1975,Graduation,Single,84196.0,0,56,215,63,507,231,31,190,7,3,0,1,51,0,1237,Comprador
1960,Graduation,Together,70971.0,0,28,1001,17,572,93,125,17,5,7,0,1,66,0,1825,Comprador
1977,PhD,Divorced,34487.0,1,94,19,18,33,24,1,8,3,9,0,0,49,1,103,Não Comprador
1977,Graduation,Single,28769.0,1,76,41,5,129,10,3,3,4,9,0,1,49,1,191,Comprador
1970,PhD,Married,69084.0,1,43,1181,107,199,39,30,30,13,8,0,1,56,1,1586,Comprador
1958,PhD,Together,65488.0,0,46,603,45,207,36,18,54,6,1,0,0,68,0,963,Não Comprador
1970,2n Cycle,Married,62466.0,0,13,129,129,259,168,121,83,12,4,0,1,56,0,889,Comprador
1960,2n Cycle,Single,32218.0,0,27,10,24,15,13,1,30,3,7,0,0,66,0,93,Não Comprador
1973,Graduation,Single,83917.0,0,12,514,22,732,42,198,79,7,3,0,1,53,0,1587,Comprador
1962,Graduation,Divorced,46102.0,2,3,14,0,1,0,0,1,2,7,0,0,64,2,16,Não Comprador
1952,Graduation,Single,84574.0,0,72,387,20,713,38,54,163,11,5,0,1,74,0,1375,Comprador
1962,Graduation,Married,56181.0,0,6,121,103,69,8,44,48,7,4,0,1,64,0,393,Comprador
1950,Master,Divorced,63120.0,0,53,965,69,279,54,41,69,9,7,0,1,76,0,1477,Comprador
1971,Graduation,Married,73691.0,0,58,707,21,250,85,43,73,8,2,0,1,55,0,1179,Comprador
1960,Graduation,Together,63381.0,0,78,571,50,142,33,50,159,13,2,0,1,66,0,1005,Comprador
1948,PhD,Together,76140.0,0,57,586,66,653,17,0,26,6,2,0,1,78,0,1348,Comprador
1959,PhD,Divorced,62859.0,0,37,1063,89,102,16,12,25,6,6,0,1,67,0,1307,Comprador
1964,Graduation,Single,45906.0,0,20,305,3,27,4,3,144,4,5,0,1,62,0,486,Comprador
1947,Master,Together,77632.0,0,73,1200,105,758,0,42,147,6,2,0,1,79,0,2252,Comprador
1971,PhD,Married,46463.0,1,56,163,2,40,8,11,11,6,6,0,0,55,1,235,Não Comprador
1970,Graduation,Together,105471.0,0,36,1009,181,104,202,21,207,13,3,0,1,56,0,1724,Comprador
1970,Master,Divorced,55282.0,1,9,125,6,73,8,4,19,6,4,0,0,56,1,235,Não Comprador
1977,Master,Married,78710.0,0,42,721,0,152,119,50,50,12,4,0,1,49,0,1092,Comprador
1958,Graduation,Together,66886.0,0,28,315,4,62,41,31,146,7,5,0,1,68,0,599,Comprador
1960,Master,Single,98777.0,0,23,1000,19,711,125,115,38,9,1,0,1,66,0,2008,Comprador
1985,Graduation,Together,29103.0,1,38,16,0,17,6,3,6,3,9,0,0,41,1,48,Não Comprador
1974,Graduation,Married,67445.0,0,63,757,80,217,29,80,11,12,6,0,1,52,0,1174,Comprador
1950,PhD,Together,50616.0,0,71,30,2,25,0,1,9,4,2,0,0,76,0,67,Não Comprador
1955,Graduation,Divorced,49431.0,0,9,219,3,100,26,0,17,5,8,0,1,71,0,365,Comprador
1975,Graduation,Divorced,153924.0,0,81,1,1,1,1,1,1,0,0,0,0,51,0,6,Não Comprador
1953,Graduation,Together,61278.0,0,87,111,3,28,2,6,15,4,6,0,0,73,0,165,Não Comprador
1958,2n Cycle,Together,26490.0,0,92,45,47,52,21,20,25,5,6,0,0,68,0,210,Não Comprador
1947,PhD,Together,73059.0,0,36,410,112,420,0,82,71,13,4,0,1,79,0,1095,Comprador
1966,PhD,Single,46734.0,1,86,100,1,39,6,1,76,3,6,0,0,60,1,223,Não Comprador
1963,Graduation,Together,56253.0,0,83,509,0,65,7,11,5,9,6,0,1,63,0,597,Comprador
1985,Graduation,Married,19986.0,1,74,3,6,5,0,2,6,3,7,0,0,41,1,22,Não Comprador
1975,Graduation,Widow,58330.0,0,87,445,53,213,104,98,151,13,4,0,1,51,0,1064,Comprador
1980,Basic,Married,25965.0,0,29,2,2,11,41,7,11,3,8,0,0,46,0,74,Não Comprador
1956,Master,Together,14661.0,0,88,4,1,11,6,2,2,3,6,0,0,70,0,26,Não Comprador
1959,Graduation,Married,18690.0,0,77,6,1,7,23,4,19,2,8,0,0,67,0,60,Não Comprador
1974,PhD,Together,45068.0,0,25,14,0,3,0,0,3,2,7,0,0,52,0,20,Não Comprador
1987,Basic,Single,21063.0,1,34,1,10,11,19,3,15,3,6,0,0,39,1,59,Não Comprador
1968,PhD,Married,29187.0,1,43,26,0,6,0,0,2,3,8,0,0,58,1,34,Não Comprador
1971,2n Cycle,Married,54690.0,1,76,111,16,37,7,9,18,5,3,0,0,55,1,198,Não Comprador
1964,PhD,Married,59304.0,0,81,418,61,428,80,51,10,10,5,0,1,62,0,1048,Comprador
1962,Master,Single,59247.0,0,87,327,9,122,19,14,83,9,6,0,1,64,0,574,Comprador
1970,Graduation,Widow,66731.0,0,33,371,159,194,58,106,141,6,3,0,1,56,0,1029,Comprador
1980,Graduation,Married,77353.0,0,38,275,59,107,69,101,59,8,4,0,1,46,0,670,Comprador
1975,PhD,Single,52614.0,0,63,789,0,142,12,9,38,8,8,0,0,51,0,990,Não Comprador
1974,Graduation,Married,26751.0,2,26,1,1,5,0,3,1,2,8,0,0,52,2,11,Não Comprador
1963,PhD,Married,81300.0,0,17,1004,12,145,32,12,36,5,5,0,1,63,0,1241,Comprador
1979,Graduation,Single,70337.0,0,75,187,81,149,25,43,91,12,1,0,0,47,0,576,Não Comprador
1985,2n Cycle,Married,36145.0,1,13,56,4,76,17,1,18,3,9,0,1,41,1,172,Comprador
1980,PhD,Single,65295.0,0,19,365,32,117,34,110,6,13,2,0,0,46,0,664,Não Comprador
1963,Graduation,Divorced,68118.0,0,51,595,23,123,10,23,154,4,6,0,1,63,0,928,Comprador
1967,Graduation,Divorced,68743.0,0,81,1132,134,384,175,134,115,13,7,0,1,59,0,2074,Comprador
1982,2n Cycle,Together,41039.0,0,32,34,11,137,179,61,45,5,8,0,1,44,0,467,Comprador
1955,Graduation,Together,38946.0,0,84,116,6,82,6,6,41,6,5,0,0,71,0,257,Não Comprador
1967,Graduation,Together,65777.0,0,87,565,32,435,28,32,54,6,1,0,0,59,0,1146,Não Comprador
1976,PhD,Divorced,66476.0,0,99,372,18,126,47,48,78,11,4,0,1,50,0,689,Comprador
1972,PhD,Single,86857.0,0,96,899,102,838,133,102,40,10,2,0,1,54,0,2114,Comprador
1982,PhD,Married,160803.0,0,21,55,16,1622,17,3,4,1,0,0,0,44,0,1717,Não Comprador
1989,PhD,Together,77845.0,0,40,760,40,480,0,40,26,12,1,0,0,37,0,1346,Não Comprador
1969,PhD,Together,69476.0,0,3,260,86,559,63,9,67,4,2,0,1,57,0,1044,Comprador
1960,PhD,Divorced,50611.0,0,98,459,0,24,6,0,4,7,6,0,1,66,0,493,Comprador
1970,Graduation,Single,61209.0,0,73,466,0,224,119,49,99,4,2,0,1,56,0,957,Comprador
1958,Master,Together,42315.0,0,90,67,15,80,17,11,80,4,3,0,0,68,0,270,Não Comprador
1952,Basic,Together,13084.0,0,29,2,0,7,3,7,10,3,6,0,0,74,0,29,Não Comprador
1949,Master,Widow,47570.0,1,3,67,1,20,0,2,31,2,7,0,0,77,1,121,Não Comprador
1961,Master,Married,61923.0,0,94,92,4,18,3,3,6,4,3,0,0,65,0,126,Não Comprador
1995,Graduation,Single,34824.0,0,65,4,2,11,2,0,4,2,6,0,0,31,0,23,Não Comprador
1949,PhD,Single,26518.0,1,33,20,1,28,3,3,2,3,8,0,0,77,1,57,Não Comprador
1961,Graduation,Single,45938.0,0,46,273,11,178,62,83,29,6,6,0,1,65,0,636,Comprador
1960,Graduation,Together,78468.0,0,29,434,22,388,104,22,34,10,4,0,1,66,0,1004,Comprador
1973,Graduation,Divorced,78901.0,0,99,321,11,309,33,26,34,5,4,0,1,53,0,734,Comprador
1978,Graduation,Married,71427.0,2,26,212,123,177,15,64,23,8,4,0,1,48,2,614,Comprador
1978,Graduation,Divorced,71022.0,0,30,909,12,278,0,12,242,11,8,0,1,48,0,1453,Comprador
1988,Master,Single,90247.0,0,27,1184,32,352,21,16,16,7,1,0,0,38,0,1621,Não Comprador
1968,Master,Divorced,41335.0,1,24,112,19,21,16,14,5,4,7,0,1,58,1,187,Comprador
1986,Graduation,Married,71952.0,1,93,656,80,455,52,107,93,8,4,0,1,40,1,1443,Comprador
1970,PhD,Divorced,35682.0,1,34,23,0,8,6,2,18,3,2,0,0,56,1,57,Não Comprador
1951,Graduation,Divorced,43185.0,0,88,537,6,42,16,6,30,6,8,0,1,75,0,637,Comprador
1948,PhD,Together,66375.0,0,96,712,0,45,0,0,191,5,7,0,0,78,0,948,Não Comprador
1971,Master,Married,35178.0,1,10,23,1,13,2,2,18,2,7,0,0,55,1,59,Não Comprador
1986,Graduation,Married,25252.0,1,26,1,3,4,2,2,6,2,8,0,0,40,1,18,Não Comprador
1965,Master,Single,55250.0,0,49,664,58,83,32,0,66,10,5,0,1,61,0,903,Comprador
1975,Graduation,Single,33249.0,1,11,6,10,21,19,14,42,3,6,0,0,51,1,112,Não Comprador
1953,Graduation,Together,58398.0,0,44,299,5,201,21,21,49,8,4,0,1,73,0,596,Comprador
1982,Graduation,Together,50272.0,1,75,99,13,66,43,8,4,5,7,0,1,44,1,233,Comprador
1975,PhD,Married,76618.0,0,64,749,40,294,121,160,147,5,1,0,0,51,0,1511,Não Comprador
1960,2n Cycle,Divorced,87305.0,0,19,345,25,501,63,138,80,8,2,0,1,66,0,1152,Comprador
1978,Graduation,Together,25851.0,1,45,9,4,18,7,5,5,3,7,0,0,48,1,48,Não Comprador
1970,Graduation,Divorced,58710.0,0,77,440,81,368,0,122,174,9,6,0,1,56,0,1185,Comprador
1958,Graduation,Single,45160.0,1,9,8,2,5,3,0,3,2,7,0,0,68,1,21,Não Comprador
1965,Master,Married,74806.0,0,1,670,9,249,0,28,9,5,4,0,1,61,0,965,Comprador
1954,Graduation,Married,59111.0,0,90,524,0,134,28,28,155,8,7,0,1,72,0,869,Comprador
1984,PhD,Married,18988.0,1,43,6,0,6,2,1,1,3,7,0,0,42,1,16,Não Comprador
1965,Graduation,Married,72190.0,0,79,597,166,597,172,166,249,4,3,0,1,61,0,1947,Comprador
1976,Graduation,Married,7500.0,1,19,7,0,12,13,7,32,2,9,0,1,50,1,71,Comprador
1966,Graduation,Married,44794.0,0,99,54,0,7,0,0,4,3,6,0,0,60,0,65,Não Comprador
1955,Graduation,Married,80395.0,0,62,445,25,706,80,76,48,12,2,0,1,71,0,1380,Comprador
1976,Master,Divorced,75012.0,0,41,294,142,218,164,58,151,11,1,0,0,50,0,1027,Não Comprador
1965,Master,Married,56962.0,2,60,292,3,77,10,3,26,5,7,0,1,61,2,411,Comprador
1991,Graduation,Together,89891.0,0,17,412,22,132,59,28,183,8,4,0,1,35,0,836,Comprador
1949,PhD,Divorced,35946.0,1,24,8,0,3,0,0,0,3,5,0,0,77,1,11,Não Comprador
1953,PhD,Together,53593.0,1,60,349,4,78,6,0,43,6,8,0,1,73,1,480,Comprador
1978,Graduation,Married,66373.0,1,57,328,9,124,12,24,109,10,3,0,1,48,1,606,Comprador
1948,PhD,Divorced,45072.0,1,74,144,2,99,7,2,30,4,8,0,1,78,1,284,Comprador
1973,Graduation,Divorced,89694.0,1,22,1126,28,211,37,28,42,4,5,0,1,53,1,1472,Comprador
1949,Graduation,Married,72025.0,0,46,967,0,617,43,50,0,13,2,0,1,77,0,1677,Comprador
1973,Graduation,Married,67432.0,0,69,432,79,341,177,136,170,4,4,0,1,53,0,1335,Comprador
1952,Master,Together,70545.0,0,29,138,39,63,55,18,21,7,2,0,1,74,0,334,Comprador
1989,Basic,Married,17487.0,1,37,0,0,1,7,4,6,2,7,0,0,37,1,18,Não Comprador
1969,Graduation,Together,62882.0,0,26,509,133,497,78,24,97,6,4,0,1,57,0,1338,Comprador
1953,PhD,Single,64108.0,0,8,948,10,86,13,21,21,11,5,0,1,73,0,1099,Comprador
1956,Master,Together,34941.0,1,26,39,2,25,4,3,24,3,8,0,0,70,1,97,Não Comprador
1950,PhD,Single,48767.0,1,79,28,1,21,3,0,10,3,5,0,0,76,1,63,Não Comprador
1978,2n Cycle,Together,38702.0,1,71,13,11,24,13,8,40,4,6,0,0,48,1,109,Não Comprador
1964,Graduation,Married,82224.0,0,83,307,26,360,138,31,40,5,3,0,1,62,0,902,Comprador
1952,Graduation,Together,83844.0,0,57,901,31,345,75,31,191,11,1,0,1,74,0,1574,Comprador
1975,2n Cycle,Married,17003.0,1,37,2,5,12,4,8,7,4,5,0,0,51,1,38,Não Comprador
1995,Graduation,Single,71163.0,0,30,283,17,372,138,106,44,12,1,0,0,31,0,960,Não Comprador
1970,Graduation,Single,33697.0,1,34,4,3,7,0,3,11,2,7,0,0,56,1,28,Não Comprador
1954,2n Cycle,Married,63564.0,0,0,769,80,252,15,34,65,7,6,0,1,72,0,1215,Comprador
1972,PhD,Together,83443.0,0,89,518,42,742,55,56,84,5,2,0,1,54,0,1497,Comprador
1958,PhD,Together,51518.0,0,92,350,8,66,17,4,4,10,3,0,0,68,0,449,Não Comprador
1975,Graduation,Widow,58330.0,0,87,445,53,213,104,98,151,13,4,0,1,51,0,1064,Comprador
1969,Graduation,Married,80952.0,0,20,778,178,689,41,27,44,11,8,0,1,57,0,1757,Comprador
1979,Graduation,Together,75507.0,0,56,709,93,374,104,80,80,6,3,0,1,47,0,1440,Comprador
1978,2n Cycle,Together,63855.0,0,28,359,35,314,93,116,89,13,4,0,1,48,0,1006,Comprador
1972,PhD,Together,62220.0,0,55,799,12,375,16,12,12,5,6,0,1,54,0,1226,Comprador
1964,Graduation,Married,58512.0,0,25,895,10,101,13,0,152,8,8,0,0,62,0,1171,Não Comprador
1979,Master,Married,40662.0,1,0,40,2,23,0,4,23,3,4,0,0,47,1,92,Não Comprador
1959,PhD,Married,38829.0,0,86,76,0,7,0,0,16,2,5,0,0,67,0,99,Não Comprador
1981,2n Cycle,Married,35523.0,1,8,11,5,22,12,5,11,3,7,0,0,45,1,66,Não Comprador
1967,Graduation,Single,79146.0,1,33,245,16,223,21,43,16,8,6,0,1,59,1,564,Comprador
1988,Master,Married,78285.0,0,13,647,107,391,175,67,40,10,3,0,1,38,0,1427,Comprador
1978,PhD,Single,31626.0,1,12,39,1,9,2,1,34,2,7,0,0,48,1,86,Não Comprador
1952,Graduation,Single,75127.0,0,92,203,35,305,46,17,227,5,1,0,0,74,0,833,Não Comprador
1955,Graduation,Married,48726.0,0,90,138,3,38,4,0,59,4,6,0,0,71,0,242,Não Comprador
1977,Graduation,Married,74985.0,0,8,587,51,898,247,0,86,7,2,0,0,49,0,1869,Não Comprador
1987,Graduation,Together,67430.0,0,6,595,97,291,127,133,121,12,6,0,1,39,0,1364,Comprador
1965,2n Cycle,Married,46891.0,0,91,43,12,23,29,15,61,4,4,0,0,61,0,183,Não Comprador
1956,Master,Married,62058.0,0,52,301,7,74,10,0,58,7,6,0,1,70,0,450,Comprador
1979,Graduation,Married,72063.0,0,3,180,32,348,76,32,90,12,2,0,1,47,0,758,Comprador
1951,PhD,Married,78939.0,0,57,794,115,243,150,0,205,6,3,0,1,75,0,1507,Comprador
1965,Graduation,Single,42720.0,1,9,392,5,91,28,26,112,7,8,0,1,61,1,654,Comprador
1972,Graduation,Married,33622.0,1,22,39,1,22,3,4,12,4,7,0,0,54,1,81,Não Comprador
1957,PhD,Together,6835.0,0,76,107,2,12,2,2,12,1,20,0,0,69,0,137,Não Comprador
1953,Graduation,Together,41452.0,1,86,13,0,3,0,0,0,2,7,0,0,73,1,16,Não Comprador
1965,PhD,Single,40760.0,0,64,70,0,17,0,0,6,3,6,0,0,61,0,93,Não Comprador
1958,PhD,Together,74250.0,0,90,680,11,392,75,0,0,4,1,0,0,68,0,1158,Não Comprador
1955,Master,Single,51124.0,1,79,26,1,11,0,1,4,3,3,0,0,71,1,43,Não Comprador
1971,Graduation,Single,72258.0,0,28,522,0,522,227,120,134,5,2,0,1,55,0,1525,Comprador
1974,PhD,Single,71466.0,0,86,412,12,546,78,182,0,10,1,0,1,52,0,1230,Comprador
1976,Graduation,Together,36283.0,1,42,6,5,5,8,0,5,3,4,0,0,50,1,29,Não Comprador
1970,Graduation,Single,20587.0,1,39,2,3,6,4,1,9,2,7,0,0,56,1,25,Não Comprador
1972,Graduation,Married,30467.0,1,8,1,3,8,2,5,5,2,7,0,0,54,1,24,Não Comprador
1972,Graduation,Together,31590.0,1,40,6,2,15,6,6,3,3,8,0,0,54,1,38,Não Comprador
1986,Basic,Married,20425.0,1,5,4,12,5,3,16,17,3,7,0,0,40,1,57,Não Comprador
1960,Master,Together,17144.0,1,96,18,2,19,0,2,6,4,7,0,0,66,1,47,Não Comprador
1968,PhD,Divorced,42564.0,0,28,324,48,186,39,18,198,4,7,0,1,58,0,813,Comprador
1978,Master,Married,43783.0,1,22,327,9,125,25,4,139,8,7,0,1,48,1,629,Comprador
1976,Graduation,Divorced,40780.0,0,30,229,27,71,13,3,34,5,9,0,1,50,0,377,Comprador
1945,Master,Together,62847.0,0,45,521,168,706,80,76,61,4,2,0,0,81,0,1612,Não Comprador
1957,PhD,Married,82017.0,0,58,184,23,446,30,23,23,7,2,0,1,69,0,729,Comprador
1950,Graduation,Single,16813.0,0,49,4,8,11,12,2,13,3,7,0,0,76,0,50,Não Comprador
1978,Graduation,Married,51267.0,1,37,183,2,64,7,2,12,5,4,0,0,48,1,270,Não Comprador
1961,Graduation,Single,46524.0,0,70,31,19,35,26,14,52,5,3,0,0,65,0,177,Não Comprador
1962,Master,Single,45183.0,0,33,219,3,60,12,9,12,7,7,0,1,64,0,315,Comprador
1954,PhD,Married,70421.0,0,98,479,28,136,75,14,35,7,6,0,1,72,0,767,Comprador
1965,2n Cycle,Divorced,60161.0,0,17,584,44,212,46,8,177,8,8,0,1,61,0,1071,Comprador
1973,Graduation,Together,73926.0,0,54,627,91,597,159,91,15,12,3,0,1,53,0,1580,Comprador
1968,Graduation,Married,19329.0,1,39,24,1,16,12,2,5,3,8,0,1,58,1,60,Comprador
1970,Master,Married,61872.0,0,81,330,5,159,36,27,16,9,4,0,1,56,0,573,Comprador
1956,Graduation,Widow,46984.0,1,71,19,1,10,2,1,8,3,5,0,0,70,1,41,Não Comprador
1951,Graduation,Married,34838.0,1,62,28,23,29,29,14,47,4,6,0,0,75,1,170,Não Comprador
1944,PhD,Single,82716.0,0,8,606,148,228,15,148,22,13,2,0,1,82,0,1167,Comprador
1958,Graduation,Married,48192.0,0,76,1039,43,204,153,58,29,12,8,0,0,68,0,1526,Não Comprador
1976,Master,Married,49681.0,0,66,411,0,26,0,0,21,7,7,0,1,50,0,458,Comprador
1971,Master,Married,56850.0,0,83,34,1,19,2,7,0,3,2,0,0,55,0,63,Não Comprador
1957,Graduation,Married,55267.0,0,28,161,28,136,32,3,45,6,3,0,0,69,0,405,Não Comprador
1972,Graduation,Married,59666.0,1,87,623,53,178,23,17,133,8,8,0,0,54,1,1027,Não Comprador
1972,Graduation,Single,72504.0,0,43,604,26,470,123,161,94,6,2,0,1,54,0,1478,Comprador
1981,Graduation,Married,26872.0,0,0,3,10,8,3,16,32,2,6,0,0,45,0,72,Não Comprador
1972,Graduation,Single,21359.0,1,1,12,2,17,6,1,10,3,8,0,0,54,1,48,Não Comprador
1975,Graduation,Single,73170.0,0,1,184,174,256,50,30,32,6,2,0,1,51,0,726,Comprador
1955,Master,Married,52750.0,0,72,393,0,239,90,69,69,9,4,0,1,71,0,860,Comprador
1986,PhD,Together,91820.0,0,72,410,73,747,76,161,30,12,1,0,1,40,0,1497,Comprador
1970,PhD,Together,65968.0,0,12,376,9,83,19,4,4,7,3,0,1,56,0,495,Comprador
1976,Graduation,Married,30772.0,1,89,7,2,4,2,1,4,2,6,0,0,50,1,20,Não Comprador
1954,Graduation,Single,22507.0,0,67,68,0,226,51,157,68,4,9,0,1,72,0,570,Comprador
